"";"variedade";"falante";"acento";"estruturafrasal";"modiladide";"repeticao";"escolaridade";"genero";"vogal";"F0";"INT";"DUR"
"124";"cameta";"BE51";"Oxítono";"fwk";"A";1;"Fund";"F";"V1";-1,5924955143107;-8,79867349731047;6,65
"125";"cameta";"BE51";"Oxítono";"fwk";"A";2;"Fund";"F";"V4";-0,827462761388375;-9,79867349731047;0,964763821237732
"126";"cameta";"BE51";"Oxítono";"fwk";"A";2;"Fund";"F";"V3";-0,72905900170521;-14,7986734973105;-0,445850828708937
"127";"cameta";"BE51";"Oxítono";"fwk";"A";2;"Fund";"F";"V2";0,555095560121463;-2,79867349731047;1,84249912282277
"128";"cameta";"BE51";"Oxítono";"fwk";"A";2;"Fund";"F";"V1";-0,355070783928625;-6,79867349731047;4,4
"129";"cameta";"BE51";"Oxítono";"fwk";"A";3;"Fund";"F";"V4";-1,51952388207587;-15,7986734973105;-0,964763821237732
"130";"cameta";"BE51";"Oxítono";"fwk";"A";3;"Fund";"F";"V3";-1,44931230738519;-11,7986734973105;0,286618389884317
"131";"cameta";"BE51";"Oxítono";"fwk";"A";3;"Fund";"F";"V2";0,377374800558864;-3,79867349731047;2,66138762185511
"132";"cameta";"BE51";"Oxítono";"fwk";"A";3;"Fund";"F";"V1";-1,99398611794922;-10,7986734973105;3,8
"133";"cameta";"BE51";"Oxítono";"fwk";"I";1;"Fund";"F";"V4";-0,502752617421824;-6,79867349731047;-0,61394061351492
"134";"cameta";"BE51";"Oxítono";"fwk";"I";1;"Fund";"F";"V3";-2,14085382172256;-8,79867349731047;-0,286618389884317
"135";"cameta";"BE51";"Oxítono";"fwk";"I";1;"Fund";"F";"V2";-3,23844181210725;-0,798673497310475;1,45352708578241
"136";"cameta";"BE51";"Oxítono";"fwk";"I";1;"Fund";"F";"V1";0,857202522949872;-3,79867349731047;6,35
"137";"cameta";"BE51";"Oxítono";"fwk";"I";2;"Fund";"F";"V4";0,212357638441228;-3,79867349731047;-0,964763821237732
